mes,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
12,,,,,,,,,21-30,16,,
12,,,,,,,,,31-40,65,,
12,,,,,,,,,41-50,96,,
12,,,,,,,,,51-60,53,,
01,,,,,,,,,,,21-30,2
01,,,,,,,,,,,31-40,13
01,,,,,,,,,,,41-50,69
01,,,,,,,,,,,51-60,166
02,,,,,,,,,,,21-30,3
02,,,,,,,,,,,31-40,15
02,,,,,,,,,,,41-50,57
02,,,,,,,,,,,51-60,159
03,,,,,,,,,,,21-30,1
03,,,,,,,,,,,31-40,15
03,,,,,,,,,,,41-50,65
03,,,,,,,,,,,51-60,180
04,,,,,,,,,,,21-30,1
04,,,,,,,,,,,31-40,16
04,,,,,,,,,,,41-50,66
04,,,,,,,,,,,51-60,171
05,,,,,,,,,,,21-30,4
05,,,,,,,,,,,31-40,20
05,,,,,,,,,,,41-50,58
05,,,,,,,,,,,51-60,169
06,,,,,,,,,,,21-30,2
06,,,,,,,,,,,31-40,13
06,,,,,,,,,,,41-50,63
06,,,,,,,,,,,51-60,164
07,,,,,,,,,,,21-30,3
07,,,,,,,,,,,31-40,17
07,,,,,,,,,,,41-50,59
07,,,,,,,,,,,51-60,177
08,,,,,,,,,,,21-30,5
08,,,,,,,,,,,31-40,14
08,,,,,,,,,,,41-50,74
08,,,,,,,,,,,51-60,174
09,,,,,,,,,,,21-30,2
09,,,,,,,,,,,31-40,18
09,,,,,,,,,,,41-50,63
09,,,,,,,,,,,51-60,168
10,,,,,,,,,,,21-30,4
10,,,,,,,,,,,31-40,12
10,,,,,,,,,,,41-50,69
10,,,,,,,,,,,51-60,175
11,,,,,,,,,,,21-30,4
11,,,,,,,,,,,31-40,16
11,,,,,,,,,,,41-50,50
11,,,,,,,,,,,51-60,176
12,,,,,,,,,,,21-30,1
12,,,,,,,,,,,31-40,20
12,,,,,,,,,,,41-50,59
12,,,,,,,,,,,51-60,152
