mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
12,22,1,0,0,0,0,0,0,0,0,0,0
12,23,1,0,0,0,0,0,0,0,0,0,0
12,24,1,0,0,0,0,0,0,0,0,0,0
12,25,1,0,0,0,0,0,0,0,0,0,0
12,26,3,0,0,0,0,0,0,0,0,0,0
12,28,1,0,0,0,0,0,0,0,0,0,0
12,30,2,0,0,0,0,0,0,0,0,0,0
12,32,2,0,0,0,0,0,0,0,0,0,0
12,33,1,0,0,0,0,0,0,0,0,0,0
01,0,0,2,2,0,0,0,0,0,0,0,0
01,0,0,3,5,0,0,0,0,0,0,0,0
01,0,0,4,4,0,0,0,0,0,0,0,0
01,0,0,5,3,0,0,0,0,0,0,0,0
01,0,0,6,11,0,0,0,0,0,0,0,0
01,0,0,7,6,0,0,0,0,0,0,0,0
01,0,0,8,6,0,0,0,0,0,0,0,0
01,0,0,9,9,0,0,0,0,0,0,0,0
01,0,0,10,8,0,0,0,0,0,0,0,0
01,0,0,11,10,0,0,0,0,0,0,0,0
01,0,0,12,11,0,0,0,0,0,0,0,0
01,0,0,13,18,0,0,0,0,0,0,0,0
01,0,0,14,10,0,0,0,0,0,0,0,0
01,0,0,15,9,0,0,0,0,0,0,0,0
01,0,0,16,9,0,0,0,0,0,0,0,0
01,0,0,17,14,0,0,0,0,0,0,0,0
01,0,0,18,11,0,0,0,0,0,0,0,0
01,0,0,19,11,0,0,0,0,0,0,0,0
01,0,0,20,12,0,0,0,0,0,0,0,0
01,0,0,21,8,0,0,0,0,0,0,0,0
01,0,0,22,5,0,0,0,0,0,0,0,0
01,0,0,23,6,0,0,0,0,0,0,0,0
01,0,0,24,5,0,0,0,0,0,0,0,0
01,0,0,25,5,0,0,0,0,0,0,0,0
01,0,0,26,5,0,0,0,0,0,0,0,0
01,0,0,27,8,0,0,0,0,0,0,0,0
01,0,0,28,6,0,0,0,0,0,0,0,0
01,0,0,29,2,0,0,0,0,0,0,0,0
01,0,0,30,6,0,0,0,0,0,0,0,0
01,0,0,31,3,0,0,0,0,0,0,0,0
01,0,0,32,3,0,0,0,0,0,0,0,0
01,0,0,33,3,0,0,0,0,0,0,0,0
01,0,0,34,2,0,0,0,0,0,0,0,0
01,0,0,36,2,0,0,0,0,0,0,0,0
01,0,0,37,5,0,0,0,0,0,0,0,0
01,0,0,38,1,0,0,0,0,0,0,0,0
01,0,0,39,2,0,0,0,0,0,0,0,0
01,0,0,40,1,0,0,0,0,0,0,0,0
01,0,0,41,2,0,0,0,0,0,0,0,0
01,0,0,44,1,0,0,0,0,0,0,0,0
02,0,0,2,5,0,0,0,0,0,0,0,0
02,0,0,3,3,0,0,0,0,0,0,0,0
02,0,0,4,6,0,0,0,0,0,0,0,0
02,0,0,5,10,0,0,0,0,0,0,0,0
02,0,0,6,8,0,0,0,0,0,0,0,0
02,0,0,7,5,0,0,0,0,0,0,0,0
02,0,0,8,6,0,0,0,0,0,0,0,0
02,0,0,9,9,0,0,0,0,0,0,0,0
02,0,0,10,17,0,0,0,0,0,0,0,0
02,0,0,11,14,0,0,0,0,0,0,0,0
02,0,0,12,12,0,0,0,0,0,0,0,0
02,0,0,13,8,0,0,0,0,0,0,0,0
02,0,0,14,7,0,0,0,0,0,0,0,0
02,0,0,15,11,0,0,0,0,0,0,0,0
02,0,0,16,13,0,0,0,0,0,0,0,0
02,0,0,17,5,0,0,0,0,0,0,0,0
02,0,0,18,9,0,0,0,0,0,0,0,0
02,0,0,19,4,0,0,0,0,0,0,0,0
02,0,0,20,8,0,0,0,0,0,0,0,0
02,0,0,21,3,0,0,0,0,0,0,0,0
02,0,0,22,6,0,0,0,0,0,0,0,0
02,0,0,23,10,0,0,0,0,0,0,0,0
02,0,0,24,6,0,0,0,0,0,0,0,0
02,0,0,25,5,0,0,0,0,0,0,0,0
02,0,0,26,4,0,0,0,0,0,0,0,0
02,0,0,27,7,0,0,0,0,0,0,0,0
02,0,0,28,5,0,0,0,0,0,0,0,0
02,0,0,29,6,0,0,0,0,0,0,0,0
02,0,0,30,2,0,0,0,0,0,0,0,0
02,0,0,31,2,0,0,0,0,0,0,0,0
02,0,0,32,3,0,0,0,0,0,0,0,0
02,0,0,33,2,0,0,0,0,0,0,0,0
02,0,0,34,2,0,0,0,0,0,0,0,0
02,0,0,35,3,0,0,0,0,0,0,0,0
02,0,0,36,2,0,0,0,0,0,0,0,0
02,0,0,37,2,0,0,0,0,0,0,0,0
02,0,0,38,2,0,0,0,0,0,0,0,0
02,0,0,40,2,0,0,0,0,0,0,0,0
03,0,0,2,3,0,0,0,0,0,0,0,0
03,0,0,3,8,0,0,0,0,0,0,0,0
03,0,0,4,6,0,0,0,0,0,0,0,0
03,0,0,5,9,0,0,0,0,0,0,0,0
03,0,0,6,8,0,0,0,0,0,0,0,0
03,0,0,7,11,0,0,0,0,0,0,0,0
03,0,0,8,8,0,0,0,0,0,0,0,0
03,0,0,9,12,0,0,0,0,0,0,0,0
03,0,0,10,8,0,0,0,0,0,0,0,0
03,0,0,11,11,0,0,0,0,0,0,0,0
03,0,0,12,11,0,0,0,0,0,0,0,0
