mes_ano,dezenas_combinadas,count_combinacao_MMYY
01/2018,21-30|21-30|31-40|41-50|51-60|51-60,1
01/2018,21-30|31-40|31-40|41-50|41-50|51-60,1
01/2019,1-10|1-10|11-20|21-30|31-40|51-60,1
01/2019,1-10|11-20|21-30|31-40|31-40|41-50,1
01/2019,1-10|21-30|21-30|21-30|41-50|51-60,1
01/2019,1-10|41-50|41-50|41-50|51-60|51-60,1
01/2019,11-20|11-20|11-20|31-40|41-50|41-50,1
01/2019,11-20|11-20|21-30|21-30|31-40|41-50,1
01/2019,11-20|11-20|21-30|21-30|41-50|41-50,1
01/2019,11-20|21-30|21-30|31-40|41-50|41-50,1
01/2019,11-20|21-30|21-30|31-40|41-50|51-60,1
01/2019,11-20|31-40|41-50|41-50|51-60|51-60,1
01/2020,1-10|1-10|1-10|11-20|21-30|31-40,1
01/2020,1-10|1-10|11-20|21-30|31-40|51-60,1
01/2020,1-10|11-20|21-30|31-40|31-40|41-50,1
01/2020,1-10|11-20|21-30|31-40|41-50|51-60,1
01/2020,1-10|21-30|31-40|41-50|41-50|51-60,1
01/2020,1-10|21-30|31-40|41-50|51-60|51-60,1
01/2020,1-10|31-40|31-40|41-50|41-50|41-50,1
01/2020,11-20|11-20|21-30|21-30|41-50|51-60,1
01/2020,11-20|21-30|31-40|41-50|51-60|51-60,1
01/2021,1-10|1-10|11-20|21-30|21-30|41-50,1
01/2021,1-10|1-10|31-40|41-50|51-60|51-60,1
01/2021,1-10|11-20|11-20|21-30|21-30|51-60,1
01/2021,1-10|11-20|21-30|41-50|41-50|41-50,1
01/2021,1-10|11-20|21-30|41-50|41-50|51-60,1
01/2021,1-10|11-20|31-40|41-50|51-60|51-60,1
01/2021,1-10|21-30|21-30|31-40|41-50|41-50,1
01/2021,11-20|11-20|11-20|31-40|51-60|51-60,1
01/2021,11-20|21-30|21-30|41-50|41-50|51-60,1
01/2021,11-20|31-40|31-40|31-40|41-50|51-60,1
01/2022,1-10|1-10|1-10|21-30|41-50|41-50,1
01/2022,1-10|1-10|11-20|11-20|11-20|31-40,1
01/2022,1-10|11-20|21-30|41-50|51-60|51-60,1
01/2022,1-10|41-50|41-50|41-50|41-50|51-60,1
01/2022,11-20|11-20|11-20|31-40|31-40|41-50,1
01/2022,11-20|11-20|21-30|31-40|41-50|51-60,1
01/2022,11-20|11-20|21-30|41-50|41-50|51-60,1
01/2022,11-20|21-30|31-40|31-40|31-40|41-50,1
01/2022,11-20|21-30|31-40|31-40|41-50|51-60,1
01/2023,1-10|1-10|1-10|11-20|31-40|51-60,1
01/2023,1-10|1-10|11-20|21-30|31-40|41-50,1
01/2023,1-10|11-20|11-20|21-30|21-30|31-40,1
01/2023,1-10|11-20|11-20|21-30|31-40|31-40,1
01/2023,1-10|11-20|41-50|51-60|51-60|51-60,1
01/2023,1-10|21-30|21-30|31-40|31-40|41-50,1
01/2023,1-10|21-30|21-30|41-50|41-50|41-50,1
01/2023,11-20|11-20|51-60|51-60|51-60|51-60,1
01/2023,11-20|21-30|41-50|41-50|41-50|41-50,1
01/2024,1-10|1-10|11-20|11-20|21-30|21-30,1
01/2024,1-10|1-10|31-40|31-40|41-50|51-60,1
01/2024,1-10|11-20|11-20|11-20|31-40|51-60,1
01/2024,1-10|11-20|11-20|21-30|21-30|41-50,1
01/2024,1-10|11-20|11-20|21-30|31-40|51-60,1
01/2024,1-10|11-20|11-20|31-40|41-50|51-60,1
01/2024,1-10|11-20|21-30|21-30|51-60|51-60,1
01/2024,1-10|11-20|21-30|41-50|41-50|51-60,1
01/2024,1-10|11-20|41-50|41-50|41-50|51-60,1
01/2024,1-10|21-30|31-40|31-40|41-50|41-50,1
01/2024,1-10|21-30|31-40|41-50|51-60|51-60,1
01/2024,11-20|11-20|41-50|51-60|51-60|51-60,1
01/2025,1-10|1-10|11-20|11-20|21-30|41-50,1
01/2025,1-10|11-20|11-20|11-20|31-40|41-50,1
01/2025,1-10|11-20|11-20|21-30|31-40|41-50,1
01/2025,1-10|11-20|21-30|31-40|41-50|51-60,1
