mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
07/1996,21-30,1,,,,,,,,,,
07/1997,1-10,1,,,,,,,,,,
07/1997,11-20,2,,,,,,,,,,
07/1997,21-30,1,,,,,,,,,,
07/1998,1-10,1,,,,,,,,,,
07/1998,11-20,2,,,,,,,,,,
07/1998,21-30,1,,,,,,,,,,
07/1999,1-10,3,,,,,,,,,,
07/1999,11-20,1,,,,,,,,,,
07/1999,21-30,1,,,,,,,,,,
07/2000,1-10,2,,,,,,,,,,
07/2000,11-20,3,,,,,,,,,,
07/2001,1-10,4,,,,,,,,,,
07/2002,1-10,5,,,,,,,,,,
07/2002,11-20,2,,,,,,,,,,
07/2002,21-30,1,,,,,,,,,,
07/2002,31-40,1,,,,,,,,,,
07/2003,1-10,3,,,,,,,,,,
07/2003,11-20,6,,,,,,,,,,
07/2004,1-10,5,,,,,,,,,,
07/2004,11-20,4,,,,,,,,,,
07/2005,1-10,6,,,,,,,,,,
07/2005,11-20,2,,,,,,,,,,
07/2005,21-30,1,,,,,,,,,,
07/2006,1-10,7,,,,,,,,,,
07/2006,11-20,1,,,,,,,,,,
07/2006,21-30,1,,,,,,,,,,
07/2007,1-10,4,,,,,,,,,,
07/2007,11-20,2,,,,,,,,,,
07/2007,21-30,2,,,,,,,,,,
07/2008,1-10,7,,,,,,,,,,
07/2008,11-20,2,,,,,,,,,,
07/2009,1-10,7,,,,,,,,,,
07/2009,11-20,2,,,,,,,,,,
07/2010,1-10,4,,,,,,,,,,
07/2010,11-20,2,,,,,,,,,,
07/2010,21-30,2,,,,,,,,,,
07/2010,31-40,1,,,,,,,,,,
07/2011,1-10,7,,,,,,,,,,
07/2011,11-20,1,,,,,,,,,,
07/2011,41-50,1,,,,,,,,,,
07/2012,1-10,5,,,,,,,,,,
07/2012,11-20,3,,,,,,,,,,
07/2013,1-10,5,,,,,,,,,,
07/2013,11-20,4,,,,,,,,,,
07/2014,1-10,6,,,,,,,,,,
07/2014,11-20,2,,,,,,,,,,
07/2014,21-30,1,,,,,,,,,,
07/2015,1-10,6,,,,,,,,,,
07/2015,11-20,3,,,,,,,,,,
07/2015,21-30,1,,,,,,,,,,
07/2016,1-10,7,,,,,,,,,,
07/2016,11-20,2,,,,,,,,,,
07/2016,41-50,1,,,,,,,,,,
07/2017,1-10,8,,,,,,,,,,
07/2017,11-20,2,,,,,,,,,,
07/2018,1-10,7,,,,,,,,,,
07/2018,11-20,1,,,,,,,,,,
07/2018,31-40,1,,,,,,,,,,
07/2019,1-10,8,,,,,,,,,,
07/2019,11-20,1,,,,,,,,,,
07/2019,21-30,1,,,,,,,,,,
07/2020,1-10,7,,,,,,,,,,
07/2020,11-20,2,,,,,,,,,,
07/2020,21-30,1,,,,,,,,,,
07/2021,1-10,6,,,,,,,,,,
07/2021,11-20,3,,,,,,,,,,
07/2021,21-30,1,,,,,,,,,,
07/2022,1-10,5,,,,,,,,,,
