dezenas_combinadas,quantidade de vezes
11-20|11-20|11-20|11-20|51-60|51-60,1
1-10|21-30|31-40|31-40|31-40|31-40,1
21-30|41-50|41-50|41-50|41-50|51-60,1
41-50|41-50|51-60|51-60|51-60|51-60,1
21-30|31-40|41-50|41-50|41-50|41-50,1
21-30|31-40|31-40|41-50|41-50|41-50,1
11-20|11-20|11-20|11-20|21-30|31-40,1
1-10|1-10|1-10|1-10|21-30|41-50,1
1-10|1-10|21-30|21-30|21-30|21-30,1
1-10|1-10|1-10|1-10|31-40|31-40,1
31-40|31-40|31-40|31-40|41-50|51-60,1
1-10|11-20|11-20|11-20|11-20|21-30,1
11-20|21-30|21-30|21-30|31-40|31-40,1
21-30|31-40|41-50|41-50|41-50|51-60,1
1-10|31-40|31-40|31-40|41-50|41-50,1
1-10|1-10|1-10|1-10|11-20|51-60,1
21-30|21-30|21-30|51-60|51-60|51-60,1
31-40|31-40|31-40|41-50|41-50|41-50,1
31-40|41-50|41-50|41-50|51-60|51-60,1
1-10|1-10|31-40|31-40|31-40|51-60,1
41-50|41-50|41-50|41-50|51-60|51-60,1
11-20|21-30|21-30|21-30|21-30|41-50,1
1-10|1-10|1-10|11-20|31-40|31-40,1
11-20|21-30|21-30|21-30|51-60|51-60,1
1-10|1-10|1-10|1-10|21-30|51-60,1
21-30|31-40|51-60|51-60|51-60|51-60,1
41-50|51-60|51-60|51-60|51-60|51-60,1
11-20|11-20|11-20|11-20|21-30|21-30,1
1-10|1-10|1-10|11-20|11-20|21-30,1
31-40|31-40|31-40|31-40|31-40|41-50,1
1-10|1-10|41-50|41-50|41-50|41-50,1
21-30|21-30|51-60|51-60|51-60|51-60,1
11-20|11-20|11-20|11-20|11-20|21-30,1
11-20|11-20|11-20|11-20|31-40|41-50,1
11-20|31-40|51-60|51-60|51-60|51-60,1
1-10|1-10|51-60|51-60|51-60|51-60,1
1-10|11-20|41-50|41-50|41-50|41-50,1
11-20|11-20|11-20|41-50|41-50|51-60,1
1-10|1-10|1-10|21-30|51-60|51-60,1
11-20|11-20|51-60|51-60|51-60|51-60,1
21-30|31-40|31-40|31-40|31-40|41-50,1
1-10|1-10|11-20|11-20|11-20|21-30,1
11-20|41-50|41-50|41-50|51-60|51-60,1
11-20|11-20|31-40|31-40|31-40|31-40,1
11-20|11-20|11-20|31-40|31-40|31-40,1
31-40|41-50|51-60|51-60|51-60|51-60,1
11-20|31-40|31-40|31-40|31-40|41-50,1
1-10|1-10|1-10|1-10|21-30|31-40,1
1-10|21-30|51-60|51-60|51-60|51-60,1
